Name,LinkedIn,Country,City,State,Website_link,Brands,Description
Because it's Better,https://www.linkedin.com/company/because-its-better/about/,United States,"Ridgefield,",CT,http://www.becauseitsbetter.com,"Brands: Because It's Better- Field to Bowl, Ocean to Bowl, Supreme Chicken. Because Its Better Functional Toppers  & Treats. Because Its Better Plant Based Meat Taste Treats. Because It's Better Protein Bites","Because Its Better is a new brand of alternative clean protein super premium dog food, toppers and treats. Featuring our functional line of toppers and treats that have a potentially positive effect on health beyond basic nutrition. At Because its Better we provide food and treats with a function. With the escalating costs of foods and treats we feel it is important to add function to the treats and toppers we feed our dogs rather than just empty calories. Today more than ever we are eating healther, less meat, more clean proteins and attention to how our food is sourced - this also needs to apply to what we feed our dogs.  At Because its Better we only use healthy, nutritious and responsibly sourced ingredients that are ont only better for your dog, but also better for our planet. We have taken the empty calories out of treats and toppers and focused on active ingredients that provice a fuction to your dog that will aid in their overall health and wellness. Because Its Better is a new brand of alternative clean protein super premium dog food, toppers and treats. Featuring our functional line of toppers and treats that have a potentially positive effect on health beyond basic nutrition. At Because its Better we provide food and treats with a function. With the escalating costs of foods and treats we feel it is important to add function to the treats and toppers we feed our dogs rather than just empty calories. Today more than ever we are eating healther, less meat, more clean proteins and attention to how our food is sourced - this also needs to apply to what we feed our dogs.  At Because its Better we only use healthy, nutritious and responsibly sourced ingredients that are ont only better for your dog, but also better for our planet. We have taken the empty calories out of treats and toppers and focused on active ingredients that provice a fuction to your dog that will aid in their overall health and wellness. Today’s pet parents are demanding more from the products they give their pets. They want a better nutritional and functional profile in their treats and that they are cutting back on those treats perceived as “empty calories”. They also want more clean protein options, proteins that do not have a negative effect on our environment. These demands are being driven by the largest demographic of pet owners in the US today……millennial pet parents. Because It's Better functional treats meet the two key need states these pet parents have today, ""plant based” and ""functional"". Our new line of certified plant based functional treats with active ingredients that focus on Calming, Skin & Coat, Overall-Health, and Gut Health have not only met the two top need states millennial pet parents are looking for, but we have done so by combined treating and supplements into one. Because It’s Better treats with a purpose are raising the bar in the pet treat market."
Coastal Pet Products,https://www.linkedin.com/company/261008,United States,"Alliance,",OH,http://www.coastalpet.com,"Brands: Bergan® by Coastal, Safari® by Coastal, Turbo® by Coastal, Li’l Pals® by Coastal along with K9 Explorer®, Pro™, Lazer Brite® Styles, Ribbon, Sublime®, New Earth® Soy, Circle T®, Safe Cat®, ElastaCat®, and Rascals® Toys plus many others!","Coastal Pet Products, Inc. Founded in 1968, by brothers Jim & Tom Stout, was the first facility built in 1974 and employed ten people.  During those early years, Coastal Pet became one of the leading pioneers in the collar, leash, and harness industry by utitlizing nylon webbing.  We are much more than an American manufacturer of pet products, as an industry leader whose focus is quality first.  We have been setting the bar for decades with standards that remain upsurpassed today.  With over fifty years of experience behind us, Coastal has always been on the forefront of innovation and design.  In 1975, we introduced double-ply nylon wed that set the standard for the industry, followed quickly in 1977 by the development of a curved buckle design that is now commonplace.  Over the years, we have continued to design in-house proprietary machines to best suit our unique manufacturing process. Today automation also plays a pivotal role enabling Coastal to yield higher quatities of products quickly and efficiently, especially in nylon and leather.  An in-house testing laboratory has allowed us to frequently perform tests on all products to maintain an important level of quality in both materials and workmanship. As the industry grew and matured, so has Coastal Pet.  Today, Coastal maintains a 400,000 square foot facility where we produce many of the collars, leashes, and harnesses our customers have grown to trust for more than half a century. As we look to the future, we are committed to leading the industry by designing and delivering quality products that people trust for the pets they love and continue to follow trends in style and innovations to stay at the forefront of the pet product industry. Founded in 1968, by brothers Jim & Tom Stout, was the first facility built in 1974 and employed ten people.  During those early years, Coastal Pet became one of the leading pioneers in the collar, leash, and harness industry by utitlizing nylon webbing.  We are much more than an American manufacturer of pet products, as an industry leader whose focus is quality first.  We have been setting the bar for decades with standards that remain upsurpassed today. With over fifty years of experience behind us, Coastal has always been on the forefront of innovation and design.  In 1975, we introduced double-ply nylon wed that set the standard for the industry, followed quickly in 1977 by the development of a curved buckle design that is now commonplace.  Over the years, we have continued to design in-house proprietary machines to best suit our unique manufacturing process. Today automation also plays a pivotal role enabling Coastal to yield higher quatities of products quickly and efficiently, especially in nylon and leather.  An in-house testing laboratory has allowed us to frequently perform tests on all products to maintain an important level of quality in both materials and workmanship. As the industry grew and matured, so has Coastal Pet.  Today, Coastal maintains a 400,000 square foot facility where we produce many of the collars, leashes, and harnesses our customers have grown to trust for more than half a century. As we look to the future, we are committed to leading the industry by designing and delivering quality products that people trust for the pets they love and continue to follow trends in style and innovations to stay at the forefront of the pet product industry. ALLIANCE, Ohio – For customers that are looking for an effortless way to remove shedding hair from their pet's coat, our Safari® by Coastal line has several options. The newest addition is the Grooming Mitt and Glove. The left right design mitt can be used for wet or dry grooming and is specifically designed to trap loose hair. The glove, which is a nice option for petting, removes debris from the coat and promotes a stress-free grooming process. Pet grooming is important for the health and cleanliness of dogs and other pets. Grooming removes excess hair, which can prevent hairballs and skin irritation, and keep the pet smelling fresh. Grooming can also improve the quality of the coat and skin, increase blood circulation, and remove fleas. Dealing with pet shedding can be a challenge for any pet owner. Not only is it time-consuming to clean up, but it can also be frustrating when hair gets everywhere - on the clothes, in the workspace, and all over the furniture. Luckily, there are a few things one can do to help manage the shedding and make life a little easier. The Grooming Mitt and Glove are devised particularly to help with this problem. They quickly and efficiently remove shedding hair from both dogs and cats. ABOUT COASTAL PET PRODUCTS: Coastal has over fifty years of product innovation and category management, holding more than thirty patents. Coastal's product development is driven, not only by our market expertise, but thousands of pet loving consumers. All of this enables us to back our products with our Quality Guarantee. The MSRP for the Grooming Glove is $9.99. The MSRP for the Grooming Mitt is $12.99 ALLIANCE, Ohio – This incredible Accent Metallic Dog Line from Coastal Pet Products is sure to turn heads! It is made with a beautiful metallic fabric that has a subtle sparkle and features premium gold metal hardware for an extra touch of luxury. It offers a fashionable and functional range of dog accessories that are sure to make their dog stand out from the pack. The line includes adjustable collars, robust leashes with gold swivel snaps, dapper bandanas, embellishments, and stylish harnesses that are all part of the collection, meaning they can find the perfect outfit for any occasion. Whether their pooch is dressing up for a party or just going for a walk, they will look their best with the Accent Metallic Dog Collection. The collection boasts a sophisticated and stylish design. High quality materials are used to create a comfortable fit. Size options are available for collars and harnesses includes small, medium, and large. Features: Beautiful metallic fabric Vibrant Patterns Strong construction ABOUT COASTAL PET PRODUCTS: Coastal has over fifty years of product innovation and category management, holding more than thirty patents. Coastal's product development is driven, not only by our market expertise, but thousands of pet loving consumers. All of this enables us to back our products with our Quality Guarantee. MSRP for the collars start at $19.49, the leashes MSRP start at $21.99, the bandana’s MSRP is $9.99, the embellishments have a MSRP of $6.99, and the harnesses MRSP begin at $28.99. ALLIANCE, Ohio – As increased cat owners are heading outdoors, Coastal Pet Products wants it to be a comfortable and safe experience for both cat and owner. We know that making the transition from indoor living to outdoor activity can be tough on a cat. That is why we have created the adjustable Cat Wrap Harness to help make the process a little easier. The adjustable Cat Wrap harness is perfect to start outdoor cat walks. It is made from soft breathable fabric and adjusts to fit the shape of their unique kitty. It is designed with specific selected Velcro that is strong and quieter when opening. The snug fit helps reduce the anxiety the cat could get when heading outdoors. Its adjustable portion allows more freedom when it comes to sizing, ranging from 9” to 16”. This can help ensure that your cat will be comfortable when wearing the harness. The wide chest strap also helps alleviate some of the stress that a cat could experience from the harness. It distributes the weight evenly over their torso, making it easier for them to adjust to a new walking system. The harness comes with a 6’ leash and is designed for all sizes, ranging from small to large cats. The harness, available in grey, is super soft and comfortable for cats to wear. The Adjustable Cat Harness is the best way to take a cat outside and enjoy the world around them. It is a top-of-the-line product that guarantees comfort and safety. Features: Soft, breathable fabric Fully adjustable neck and girth Quiet hook and loop material D-ring for leash attachment ABOUT COASTAL PET PRODUCTS: Coastal has over fifty years of product innovation and category management, holding more than thirty patents. Coastal's product development is driven, not only by our market expertise, but thousands of pet loving consumers. All of this enables us to back our products with our Quality Guarantee. MSRP is $24.49 for this light grey and black cat harness. ALLIANCE, Ohio – For individuals who love spending time in nature and living a simple, clean lifestyle, they will be interested in trying out the eco-friendly soy pet products from Coastal Pet Products. New Earth® Soy collars, leashes, and harnesses for both cats and dogs are made with natural reclaimed fibers that are gentle on the environment, making them a perfect choice for those who support sustainability. These organic items are a wonderful way to reduce the use of man-made fibers, while also providing the comfort and security pets need. The New Earth® Soy Product line is made with eco-friendly soy fibers that feature antibacterial properties to control odor. They are incredibly soft, with a cashmere feel that pets will love. Made with durable materials that can withstand years of wear and tear, these products are ideal for customers who want to be assured of a long-lasting product. If pet owners are wanting an eco-friendly fun-colored accessory for their pet, then the New Earth® Soy line is it. For cats, there are printed colored options, as well as solid colors in cranberry, indigo, olive, rose, and pumpkin. For dogs, all three products come in cranberry, indigo, rose, onyx, eggplant, forest, pumpkin, slate, fuchsia, and mint. Features: Eco-Friendly Adjustable Good for sensitive skin ABOUT COASTAL PET PRODUCTS: Coastal has over fifty years of product innovation and category management, holding more than thirty patents. Coastal's product development is driven, not only by our market expertise, but thousands of pet loving consumers. All of this enables us to back our products with our Quality Guarantee. MSRP for cat collars begin at $7.49, dog collars begin at $6.99, dog leashes start at $12.99, and dog harnesses begin at $13.49. ALLIANCE, Ohio – All Circle T® leather products are handcrafted with the utmost care and attention to detail in Alliance, Ohio. Circle T® collars and leashes are full grain top quality leather, hand crafted in Alliance Ohio. The leather hides are drum dyed for consistent color saturation and the vegetable tanning method carefully processes the leather, creating a superior character in the final product. Eco-friendly tanning processes use blend of tannins that are naturally occurring chemicals. This process results in leather that is strong and durable, yet soft and flexible. All Coastal leather hides are American made and purchased from a company specializing in leather for over 150 years. Coastal’s US employees handcraft the collars and leashes from hide to finished product. These made in the USA collars and leashes offer a classic leather look that only gets better with age, while our fashion leather collars provide a rugged and stylish look. No Matter which style is chosen, one can be sure that their dog will love their new Circle T® collar or leash. ABOUT COASTAL PET PRODUCTS: Coastal has over fifty years of product innovation and category management, holding more than thirty patents. Coastal's product development is driven, not only by our market expertise, but thousands of pet loving consumers. All of this enables us to back our products with our Quality Guarantee. MSRP starts at $9.49 for collars and $19.49 for leashes. Soy fabric is an eco-friendly fabric made from the hulls of Soy beans. Soy protein is liquefied and then extruded into long, thin filament fibers that are then cut and processed similar to many other natural fibers. The protein is taken from the waste of food production, rather than harvesting the Soy beans especially for this purpose, meaning that nothing is waste. New Earth® Soy Adjustable Collar
• Soft, cashmere feel
• Anti-bacterial properties to control odor
• Perfect for dogs with sensitive skin New Earth® Soy Leash
• Soft, cashmere feel
• Anti-bacterial properties to control odor It gets better with age! While most collars wear out, get stinky or fall apart over time, leather collars actually get better with age. The leather takes in natural oils that enrich the color and causes the collars and leashes to become softer and more pliable over time. Leather leashes are a favorite with trainers, because they don't slip or cause the painful brush burns that can happen from using nylon or polyester training leads. A legacy reputation dog trainers trust The full grain, top quality leather is sourced from a company that's been specializing in leather for over 150 years. Hides are are drum dyed for consistent color saturation and the vegetable tanning method carefully processes the leather, creating a superior character in the final product. Moreover, vegetable tanning is a natural and eco-friendly process that uses a blend of tannins that includes the bark of Mimosa and Quebracho trees. The process is labor-intensive and can take up to six weeks to complete. Created for those woh love the outdoor lifestyle, Water & Woods is perfect for anyone with hunting and retriever dogs, as well as for camo enthusiasts. The new collars and leashes feature Mossy Oak out door & lifestyle patterns, matte gunmetal hardware, and a quick-release Alligator Snap on the leashes. Training dummies and foam trainers are designed to promote an easier grip.  Alongside the shape, their texture and construction provide a strong hold. When your dog's personality is too big for a plain, thin collar, the Sublime® Adjustable Dog Collar is the perfect choice. These wider-than-average collars feature two-sided complementary patterns for a unique look you'll love. And the durable plastic buckle holds up to the everyday wear a big dog puts it through. Features Adjustable. Plastic Buckle. Vibrant Patterns. Applications Ideal for everyday use. Li'l Pals
Perfect products for petite pups Still growing or permanently petite?"
Woofkies,https://www.linkedin.com/company/woofkiespet,United States,"Tomball,",TX,http://www.woofkies.pet,Brands: Woofkies,"Woofkies dog treats are 100% handcrafted and hand-decorated cookies for dogs. At Woofkies, we are passionate about giving paw-rents and dogs new ways to bond and share meaningful moments together. With our team’s 20+ years of professional cookie decorating experience, we create one-of-a-kind treats that are both beautiful and delicious. Woofkies dog treats are made with unparalleled craftsmanship, rich nutrition, and the taste and texture that dogs deserve. Our treats are vegan, peanut and tree nut-free, and made in an SQF-certified bakery with human grade ingredients. Woofkies dog treats are available in a variety of seasonal and everyday collections. Visit us at booth 7056 or visit www.woofkies.pet to learn more. ORLANDO, FLORIDA — After months of anticipation, Woofkies dog treats launched this March. Not only have they been met with fantastic customer reviews, but following their debut at the 2022 Global Pet Expo in Orlando, Florida, they are in the process of becoming widely available at nationwide pet retailers. Woofkies dog treats are 100% handcrafted and hand-decorated cookies for dogs. Each treat is inspired by the memorable moments of a dog’s life, then decorated to perfection by the Woofkies team. The treats are made with 100% human-grade, nut-free, and vet-approved ingredients and enriched by a tasty Honey Peanut Butter flavor that dogs can’t get enough of. The Woofkies brand is dedicated to finding new ways for paw-rents and dogs to bond and share meaningful moments together. As a team of professional cookie decorators with over 20+ years of experience, Woofkies creates beautiful and one-of-a-kind artisanal treats that are smile-worthy for paw-rents and delicious for their dogs. The result is an experience unlike any other: Woofkies dog treats. Woofkies dog treats are making big first impressions. The treats were showcased for the first time in March at the Global Pet Expo—the largest pet industry trade show in the world—capturing the interest of everyone from local pet shop owners to international pet store retailers due to their uniquely memorable designs and precise decorations. Additionally, Amazon reviews for Woofkies dog treats are flooding in as 100% positive, pointing to the success of the Woofkies dream. “These dog treats are so cute--and my dog loved them!” wrote one 5-star reviewer, noting that the treats are “super fun and creative” and that “my dog wants them all!” ."
Alchemy Pet LLC,https://www.linkedin.com/company/alchemy-pet/,United States,"Laguna Beach,",CA,https://www.alchemypet.com/,Brands: alchemypet,"Longer. Fuller. Lives. Together - alchemypet delivers innovative solutions by combining cutting-edge microencapsulation technology with naturally-derived holistic ingredients promoting proactive pet health, longevity, and maximum quality of life. Vet-approved, vegan, free from harmful chemicals, preservatives, and 8 major allergens. Longer. Fuller. Lives. Together - alchemypet delivers innovative solutions by combining cutting-edge microencapsulation technology with naturally-derived holistic ingredients promoting proactive pet health, longevity, and maximum quality of life. Vet-approved, vegan, free from harmful chemicals, preservatives, and 8 major allergens. Our product line is easily identified by health target in bright, bold packaging: Microencapsulation technology enables the controlled release of natural ingredients enhancing bioavailability and absorption. Immunity booster is a full-spectrum hot water extract made from organically grown, Agaricus blazei Murill Mushrooms. Made in two convenient strengths, designed for dosing in dogs of all weights! These taste-friendly topper formulas can simply be added to your pet’s favorite food or drink. Clinically studied, human-grade, high-quality ingredients for maximum quality of life. All products are vegan PLUS free from harmful chemicals, preservatives, and top 8 allergens. Water extractions and organic ingredients are prioritized. Packaging is recyclable glass and upcycled shipping materials wherever possible."
All Star Dogs,https://www.linkedin.com/company/all-star-dogs-inc.?trk=biz-companies-cym,United States,"Marlboro,",NJ,http://www.allstardogs.com,"Brands: All Star Dogs, ARMY Pets","Officially licensed team pet gear for 500+ Colleges, MILB, NHL, CFL, ECHL, AHL, and more. Debut of ARMY Pets, licensed armed forces products. Specialists in custom order, promotional products, and seasonal pet gear. Celebrating 20 years in the industry. Duty free to Canada. Made in America. Save up to 20% off at Super Zoo! Officially licensed team pet gear for 500+ Colleges, MILB, NHL, CFL, ECHL, AHL, and more. Debut of ARMY Pets, licensed armed forces products. Specialists in custom order, promotional products, and seasonal pet gear. Celebrating 20 years in the industry. Duty free to Canada. Made in America. Save up to 20% off at Super Zoo!"
Animal Ortho Care,https://www.linkedin.com/company/aocpet,United States,"Blaine,",MN,http://www.aocpet.com,"Brands: Haute Wheels Pet Wheelchair, L'il Back Bracer, Animal Ortho Care, EM Technology, Barque & Bau",Animal Ortho Care is an animal wellness and life extension company dedicated to providing innovative products that improve the quality of life and care for all pets and their parents.  Products we provide:  Pet Wheelchairs Custom Dog Braces & Prosthetics Dog Soft Support Wraps & Braces Pain Relief Therapy Products Farm Animal Braces & Prosthetics Animal Ortho Care is an animal wellness and life extension company dedicated to providing innovative products that improve the quality of life and care for all pets and their parents. Products we provide:
Applaws Natural Pet Food / Reveal,https://www.linkedin.com/company/mpm-products-ltd/mycompany/%20,United States,"PHOENIX,",AZ,https://applaws.com/us/,Brands: Applaws and Reveal,"MPM was founded on the belief that Making Pet Food Matters. Our mission is to enrich the lives of pets and their owners through visibly better pet food. That is why we are focused on our 3 core values: Transparency, Simplicity, and Responsibility. We are bringing these to life through our two brands: Applaws and Reveal. You can see the goodness in Reveal Truly Limited Ingredient Pet Food as soon as you lift the lid. We use more real protein, so your cat will love you as much as mealtimes. Every tuna with crab broth and tuna with salmon serving is rich in omega 6 to keep your cat healthy with a shiny coat. Reveal is great for fussy eaters or cats with sensitive stomachs. Each recipe is grain free created using real protein so they are delicious and easy to digest. We use only the highest quality ingredients and have the highest ethical standards. If your cat could talk, we think they would ask for Reveal. And with our new Broth Can Variety Pack, it doesn’t matter which of our broth cans you serve first – your cat will love them all. Lovingly made with 100% natural ingredients, each serving provides a great source of taurine to keep your cat healthy and happy. Our products are grain free, and made with no artificial flavors, colors, or additives. Every portion of Reveal is made with sustainably sourced, real protein, in a variety of wet forms to cater to your cat's mealtime texture and flavor preferences. Applaws Kitten Recipes are specially formulated to give kittens the best possible start in life. With a wide variety of flavors and a range of multipacks, you can give your kitten a tasty meal and everything they need to develop into adulthood. There’s no need for a dish with Applaws cat Pots, simply peel and serve. 100% natural, each serving features a tasty chicken breast or fish fillet for cats that deserve to be spoiled. And our new variety pack provides the assortment needed to keep your cat coming back for more."
Armstrong Milling Co Ltd,https://www.linkedin.com/company/14807902/admin/,Canada,"Hagersville,",ON,http://www.armstrongbirdfood.com,-,"Armstrong is Canada's leading provider of birdfood, and the only one to be SQF certified. With a comprehensive and unique selection of blends and seeds for every consumer, Armstrong is dedicated to growing the industry through quality and innovation."
Aroma Retail,https://www.linkedin.com/company/aroma-retail/,United States,"Las Vegas,",NV,https://aromaretail.com/,-,"Aroma Retail is a home and business scenting company based in Las Vegas, well-known for its collection of signature resort scents and unique fragrance libraries. Every scent is available with aroma diffusion machines, room sprays, linen sprays, reed diffusers, and hand-poured candles. Scent Your Space today at AromaRetail.com."
Asobu,https://www.linkedin.com/company/asobu-bottle/,Canada,"Montreal,",QC,http://asobubottle.com,Brands: Asobu,Asobu is the first drinkware company to manufacture pet products for the Pet Parent & your pet. Each bottle is designed to ensure that you and your pet can sanitarily share the same bottle to ensure you are hydrated all day!
